Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57905101,"The Gate of the Feral Gods (Dungeon Crawler Carl, #4)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,4.57,Dandy House,Kindle Edition,586,2021,2021,,2025/05/05,currently-reading,currently-reading (#4),currently-reading,,,,1,0
57001971,"The Dungeon Anarchist's Cookbook (Dungeon Crawler Carl, #3)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",5,4.48,Dandy House,Kindle Edition,534,2021,2021,2025/05/04,2025/04/14,,,read,,,,1,0
56377548,"Carl's Doomsday Scenario (Dungeon Crawler Carl, #2)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",5,4.54,Dandy House,Kindle Edition,364,2021,2021,,2025/04/15,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",4,4.23,Crown Publishers,Hardcover,480,2011,2011,,2016/10/18,,,read,,,,1,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",3,4.17,Bantam,Hardcover,244,2004,1951,,2016/10/18,,,read,,,,1,0
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",2,3.99,Simon & Schuster ,Paperback,453,2004,1961,,2016/10/18,,,read,,,,1,0
54659324,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",5,4.51,Dandy House,Kindle Edition,446,2020,2020,2025/04/15,2025/03/26,,,read,,,,1,0
123224262,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.38,Tor Books,Kindle Edition,624,2023,2007,2025/03/23,2024/12/03,,,read,,,,1,0
50009069,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0316387339""","=""9780316387330""",3,4.22,Orbit,Kindle Edition,536,2015,2006,2025/03/23,2025/01/29,,,read,,,,1,0
124937343,"Dandadan, Vol. 5",Yukinobu Tatsu,"Tatsu, Yukinobu",,"=""1974741923""","=""9781974741922""",5,4.51,VIZ Media LLC,Kindle Edition,218,2023,2022,2025/01/30,2025/01/30,,,read,,,,1,0
123224266,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.55,Tor Books,Kindle Edition,586,2023,2008,2025/01/28,2025/01/28,,,read,,,,1,0
28686959,Based on a True Story: A Memoir,Norm Macdonald,"Macdonald, Norm",,"=""0812993624""","=""9780812993622""",0,4.02,Random House,Hardcover,256,2016,2016,,2025/01/08,to-read,to-read (#4),to-read,,,,0,0
68428,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",5,4.49,Tor Books,Hardcover,541,2006,2006,2024/11/21,2024/12/21,,,read,,,,2,0
54852559,Japanese Short Stories for Beginners: 20 Captivating Short Stories to Learn Japanese & Grow Your Vocabulary the Fun Way! (Easy Japanese Stories) Vol. 1,Lingo Mastery,"Mastery, Lingo",,"=""""","=""""",0,4.24,,Kindle Edition,205,2020,2020,,2024/11/09,to-read,to-read (#3),to-read,,,,0,0
653251,Japanese Sentence Patterns for Effective Communication: A Self-Study Course and Reference,Taeko Kamiya,"Kamiya, Taeko",,"=""4770029837""","=""9784770029836""",0,4.34,Kodansha,Paperback,366,2005,2005,,2024/11/09,to-read,to-read (#2),to-read,,,,0,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",5,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2024/10/27,,,read,,,,1,0
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172002""","=""9781982172008""",0,4.42,Scribner,Hardcover,464,2022,2022,,2024/10/27,to-read,to-read (#1),to-read,,,,0,0
24685115,"Morning Star (Red Rising, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539850""","=""9780345539854""",5,4.53,Del Rey,Kindle Edition,526,2016,2016,2024/10/27,2024/08/21,,,read,,,,1,0
21425079,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.48,Del Rey,Kindle Edition,465,2015,2015,2024/08/21,2024/08/09,,,read,,,,1,0
34873380,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.27, Random House LLC,Kindle Edition,401,2014,2014,2024/08/09,2024/08/09,,,read,,,,1,0
123960549,Learn Japanese in Bed: Because sometimes studying at a desk sounds just awful,Nicholas 'Niko' Walker,"Walker, Nicholas 'Niko'",,"=""""","=""""",5,4.07,,Kindle Edition,248,2023,,2024/05/03,2024/05/03,,,read,,,,1,0
54906250,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""""","=""""",4,4.50,Ballantine Books,ebook,549,2021,2021,2024/02/05,2024/02/05,,,read,,,,1,0
57504944,The Practice of Groundedness: A Transformative Path to Success That Feeds--Not Crushes--Your Soul,Brad Stulberg,"Stulberg, Brad",,"=""0593329902""","=""9780593329900""",5,4.12,Portfolio,Kindle Edition,288,2021,2021,2023/12/07,2023/12/07,,,read,,,,1,0
